town_id,縣市,鄉鎮,人口數,家戶數,1-2月總用水,1-2月家戶用水,3-4月總用水,3-4月家戶用水,5-6月總用水,5-6月家戶用水,7-8月總用水,7-8月家戶用水,9-10月總用水,9-10月家戶用水,11-12月總用水,11-12月家戶用水
6300800,臺北市,文山區,273921,103299,4720470,45.697150988877,4321849,41.838246256014,4284426,41.475967821567,4524088,43.796048364457,4654164,45.05526674992,4662664,45.137552154425
6301000,臺北市,內湖區,285767,105416,5425525,51.467756317827,5067750,48.073821810731,5044867,47.856748501176,5473290,51.920865902709,5727397,54.331382332853,5498900,52.163808150565
6300700,臺北市,萬華區,194715,78157,3678493,47.065432398889,3473211,44.438898627122,3402569,43.535051243011,3638851,46.558222552043,3764230,48.16241667413,3640168,46.575073249997
6301100,臺北市,士林區,290455,105568,5498833,52.088066459533,5103887,48.346913837527,5108352,48.389208851167,5366857,50.837914898454,5614740,53.186003334344,5569139,52.754044786299
6300900,臺北市,南港區,121257,45863,2300616,50.16278917646,1996359,43.528748664501,2122405,46.277064300198,2369851,51.672393868696,2505961,54.640145651179,2428648,52.954407692475
6300300,臺北市,大安區,313693,120178,6835958,56.88194178635,6436350,53.556807402353,6246942,51.980745227912,6595430,54.880510575979,6942746,57.770523723144,7044415,58.616510509411
6300600,臺北市,大同區,130973,51164,2450427,47.893577515441,2376759,46.45373700258,2261807,44.20700101634,2450848,47.901805957314,2555768,49.952466578063,2640992,51.618169025096
6300500,臺北市,中正區,163388,65087,4157704,63.879177101418,3803585,58.438474656998,3847932,59.119824235254,4147722,63.725813142409,4380982,67.309631723693,4238528,65.120961175043
6301200,臺北市,北投區,257520,95092,4589277,48.26144155134,4459380,46.895427585917,4187263,44.033809363564,4427715,46.562434274177,4698870,49.41393597779,4791855,50.391778488201
6300200,臺北市,信義區,229657,89181,4737204,53.118982742961,4425571,49.624594924928,4479722,50.231798252991,4864972,54.551664592234,5063423,56.776925578318,5031078,56.414236216234
6300400,臺北市,中山區,230496,98324,6614023,67.26763557219,6269566,63.764350514625,6089571,61.933719132663,6499441,66.10228428461,6863215,69.80203205728,6961377,70.800384443269
6300100,臺北市,松山區,210473,80073,4265411,53.269029510572,4095147,51.142669813795,3919344,48.947135738638,4211169,52.591622644337,4464334,55.753300113646,4523938,56.497670875326
6500200,新北市,三重區,389325,147402,7559176,51.282723436588,6853592,46.495922714753,6802829,46.151537970991,7172603,48.660147080772,7501899,50.894146619449,7558492,51.278083065359
6502600,新北市,貢寮區,13115,4434,140908,31.77898060442,143502,32.36400541272,142562,32.15200721696,158390,35.721695985566,166742,37.605322507894,153241,34.560442038791
6501800,新北市,深坑區,23636,9330,553647,59.340514469453,513895,55.079849946409,557559,59.759807073955,550767,59.031832797428,573896,61.510825294748,581369,62.311789924973
6502800,新北市,萬里區,22678,7369,198219,26.899036504275,199237,27.037182792781,208952,28.355543493011,222366,30.17587189578,249109,33.804993893337,261636,35.50495318225
6500600,新北市,新店區,299730,122810,6468820,52.673397931765,5729299,46.651730315121,5966981,48.587093884863,6351593,51.718858399153,6595071,53.701416822734,6431354,52.368325054963
6502500,新北市,雙溪區,9450,3842,29232,7.6085372201978,31546,8.2108276939094,30116,7.838625715773,32561,8.4750130140552,36166,9.4133263925039,36689,9.5494534096825
6502200,新北市,石門區,12733,4283,33590,7.8426336679897,29259,6.8314265701611,34651,8.0903572262433,36557,8.5353724025216,38910,9.084753677329,35614,8.3151996264301
6502900,新北市,烏來區,6165,1792,20482,11.4296875,18921,10.55859375,12131,6.76953125,19741,11.016183035714,22724,12.680803571429,24307,13.564174107143
6502100,新北市,三芝區,23480,9279,276742,29.824550059274,238253,25.676581528182,286950,30.924668606531,268674,28.95505981248,297267,32.036534109279,294718,31.761827783166
6502700,新北市,金山區,22400,7003,194021,27.7054119663,175521,25.063686991289,194507,27.774810795373,183503,26.203484221048,206395,29.472368984721,204182,29.156361559332
6502400,新北市,平溪區,4954,2351,21917,9.3224159931944,21635,9.2024670353041,21690,9.2258613356019,21560,9.1705657167163,26980,11.47596767333,25176,10.708634623564
6501900,新北市,石碇區,7864,3368,45530,13.518408551069,42343,12.572149643705,43905,13.035926365796,43611,12.948634204276,44946,13.345011876485,43105,12.798396674584
6502000,新北市,坪林區,6455,2478,13537,5.4628732849072,13757,5.5516545601291,13809,5.5726392251816,15618,6.3026634382567,19027,7.6783696529459,15964,6.4422921711057
6501300,新北市,土城區,239270,85549,3800925,44.42980046523,3647293,42.63396416089,3591892,41.986370384224,3732055,43.624764754702,3891108,45.483968252113,3908796,45.690726951805
6501200,新北市,瑞芳區,41315,16088,432646,26.89246643461,426452,26.507458975634,445993,27.722090999503,446035,27.724701640975,492225,30.595785678767,495769,30.816074092491
6501600,新北市,泰山區,78370,27668,1332232,48.15064334249,1325792,47.917883475495,1268336,45.841260662137,1363898,49.295142402776,1370063,49.517962989735,1403712,50.734133294781
6501500,新北市,五股區,82255,29305,1408508,48.0637433885,1280504,43.695751578229,1301170,44.40095546835,1315397,44.886435761815,1452811,49.575533185463,1404740,47.935164647671
6502300,新北市,八里區,37187,13764,811783,58.978712583551,811461,58.955318221447,804339,58.437881429817,863419,62.730238302819,926264,67.296134844522,966446,70.215489683232
6500800,新北市,鶯歌區,89075,29201,1170042,40.068559295915,1153930,39.516797369953,1129018,38.66367590151,1164994,39.895688503818,1233620,42.245813499538,1237649,42.383788226431
6500900,新北市,三峽區,111588,40345,1701857,42.182600074359,1614998,40.029693890197,1606708,39.824216135828,1675008,41.517114884124,1760193,43.628528937911,1803796,44.709282438964
6501100,新北市,汐止區,195140,84229,3918385,46.520616414774,3790421,45.001377197877,3875664,46.013415806907,3902795,46.335525769034,4121981,48.937788647615,4112571,48.826069406024
6500700,新北市,樹林區,184167,65057,2968880,45.635058487173,2896895,44.528567256406,2786801,42.836297400741,2933727,45.094716940529,3078563,47.321010805909,3210184,49.344175107982
6501000,新北市,淡水區,158953,68253,3492127,51.164446984015,3349687,49.077505750663,3484796,51.057037785885,3537084,51.823128653686,3687836,54.031852079762,3820558,55.976411293276
6501400,新北市,蘆洲區,199750,68922,3405289,49.407866863991,3227012,46.821218188677,3209805,46.571559153826,3312007,48.054423841444,3529678,51.212646179739,3467185,50.305925539015
6501700,新北市,林口區,97645,37840,1617042,42.73366807611,1574104,41.598942917548,1573899,41.593525369979,1621568,42.853276955603,1743475,46.074920718816,1678069,44.346432346723
6500500,新北市,新莊區,411711,147092,6956639,47.294475566312,6651694,45.221317270824,6572844,44.685258205749,6878893,46.765922007995,7180488,48.816305441492,7193442,48.904372773502
6500100,新北市,板橋區,555914,204899,9410663,45.928301260621,8870743,43.293246916774,8838407,43.135432578978,9165615,44.73235594122,9689270,47.2880297122,9593306,46.819681892054
6500300,新北市,中和區,415226,162378,8420433,51.856981857148,8135098,50.099754892904,7822620,48.175368584414,8319227,51.233707768294,8679148,53.450270356822,8792879,54.150679279213
6500400,新北市,永和區,227267,90687,4203982,46.357052278717,4020629,44.335229966809,3751917,41.372159184889,3937127,43.41445852217,4067722,44.85452159626,4224585,46.584240299051
