縣市,鄉鎮市區,縣市代碼,家戶數,1-2月用電總量,1-2月平均家戶用電,3-4月用電總量,3-4月平均家戶用電,5-6月用電總量,5-6月平均家戶用電,7-8月用電總量,7-8月平均家戶用電
臺中市,新社區,TXG-190,7425,4958009,667,4835448,651,5078069,683,5370266,723
臺中市,石岡區,TXG-200,4875,2695885,553,2774718,569,2751258,564,3039026,623
臺中市,外埔區,TXG-210,9073,6932986,764,6586410,725,7355387,810,9476663,1044
臺中市,大安區,TXG-220,5313,4113789,774,4278732,805,4228418,795,5813438,1094
臺中市,烏日區,TXG-230,21599,14807083,685,15545745,719,16223846,751,22218519,1028
臺中市,大肚區,TXG-240,16323,11816619,723,12427579,761,12672045,776,16134635,988
臺中市,龍井區,TXG-250,21411,18811622,878,19260932,899,19672397,918,25144863,1174
臺中市,霧峰區,TXG-260,19160,15304834,798,15429055,805,18392661,959,23226959,1212
臺中市,太平區,TXG-270,57076,35923490,629,35954826,629,40849037,715,53060639,929
臺中市,大里區,TXG-280,64876,47619531,734,45303360,698,49827367,768,69111687,1065
臺中市,和平區,TXG-290,4401,2498685,567,2619249,595,2578006,585,2544262,578
臺南市,東區,TNN-320,71788,46818701,652,47853615,666,55709866,776,77606464,1081
臺南市,南區,TNN-330,44162,27825902,630,28776090,651,32420219,734,44995595,1018
臺南市,北區,TNN-340,49130,36010416,732,34966947,711,41410455,842,56358153,1147
臺南市,安南區,TNN-350,57535,40029594,695,41214411,716,44665837,776,60726190,1055
臺南市,安平區,TNN-360,24040,17175791,714,17807856,740,19192214,798,28111302,1169
臺南市,中西區,TNN-370,30697,4230034,137,4158547,135,5013127,163,6831470,222
臺南市,新營區,TNN-010,27960,17137704,612,17443227,623,19414389,694,27051217,967
臺南市,鹽水區,TNN-020,10043,5610456,558,5401097,537,6191076,616,8357219,832
臺南市,白河區,TNN-030,11026,5595308,507,6366375,577,6346006,575,8043104,729
臺南市,柳營區,TNN-040,7819,4036433,516,4348712,556,4824458,617,6389473,817
臺南市,後壁區,TNN-050,8942,4419796,494,4645141,519,4924729,550,6475420,724
臺南市,東山區,TNN-060,8279,3570233,431,3810824,460,3901490,471,5115408,617
臺南市,麻豆區,TNN-070,15350,9710328,632,10441331,680,11160231,727,15068946,981
臺南市,下營區,TNN-080,9135,5218898,571,5428953,594,5874347,643,7869866,861
臺南市,六甲區,TNN-090,7740,4608858,595,4567940,590,5043947,651,6796505,878
臺南市,官田區,TNN-100,7735,4386294,567,4413205,570,4862764,628,6431078,831
臺南市,大內區,TNN-110,4025,1738905,432,1695396,421,1938114,481,2312782,574
臺南市,佳里區,TNN-120,19839,12281956,619,13102388,660,13784244,694,19006640,958
臺南市,學甲區,TNN-130,9666,4691805,485,4951645,512,5392277,557,7337790,759
臺南市,西港區,TNN-140,7947,4905269,617,5104750,642,5757035,724,7410625,932
臺南市,七股區,TNN-150,8109,3607640,444,3804298,469,4201994,518,5621057,693
臺南市,將軍區,TNN-160,7417,3282225,442,3180209,428,3848718,518,4949602,667
臺南市,北門區,TNN-170,4398,1792006,407,1878967,427,2003052,455,2676175,608
臺南市,新化區,TNN-180,13985,9152469,654,9074286,648,10613647,758,13483741,964
臺南市,善化區,TNN-190,15463,10858304,702,11298246,730,12420083,803,16279689,1052
臺南市,新市區,TNN-200,11217,9474348,844,9952579,887,10492082,935,14189622,1265
臺南市,安定區,TNN-210,9584,6961321,726,6467932,674,7801941,814,10097536,1053
臺南市,山上區,TNN-220,2731,1297686,475,1436979,526,1603429,587,2047594,749
臺南市,玉井區,TNN-230,5122,2732747,533,2918608,569,3202983,625,4044865,789
臺南市,楠西區,TNN-240,3549,1967817,554,2067114,582,2131803,600,2486037,700
臺南市,南化區,TNN-250,2832,1243751,439,1426214,503,1415481,499,1786474,630
臺南市,左鎮區,TNN-260,1992,901719,452,991141,497,1045578,524,1273309,639
臺南市,仁德區,TNN-270,25769,18565883,720,19040540,738,20849529,809,27654465,1073
臺南市,歸仁區,TNN-280,21377,15590501,729,16262351,760,17372165,812,22973550,1074
臺南市,關廟區,TNN-290,10823,7908971,730,8143078,752,8701193,803,11191169,1034
臺南市,龍崎區,TNN-300,1588,708148,445,726205,457,771052,485,864871,544
臺南市,永康區,TNN-310,79057,56506128,714,58770989,743,65496830,828,89908396,1137
高雄市,鹽埕區,KHH-010,11013,6306839,572,6826091,619,8518198,773,11402089,1035
高雄市,鼓山區,KHH-020,54073,30628084,566,30984188,573,34093115,630,49842787,921
高雄市,左營區,KHH-030,75837,43318103,571,43162510,569,47173422,622,69647268,918
高雄市,楠梓區,KHH-040,64078,37873419,591,38692633,603,44648085,696,61805422,964
高雄市,三民區,KHH-050,133295,80872138,606,79863735,599,92420793,693,133405793,1000
高雄市,新興區,KHH-060,22782,15058911,661,16641138,730,20411982,895,28116734,1234
高雄市,前金區,KHH-070,12560,8634957,687,9578737,762,11907559,948,16257060,1294
高雄市,苓雅區,KHH-080,72112,41117255,570,43567029,604,55791128,773,74407569,1031
高雄市,前鎮區,KHH-090,77234,42843602,554,44225235,572,57447642,743,74738245,967
高雄市,旗津區,KHH-100,10969,4831157,440,5445296,496,6722755,612,8786032,800
高雄市,小港區,KHH-110,65138,31243698,479,31246190,479,36337416,557,49036318,752
高雄市,鳳山區,KHH-120,132437,78802371,595,80265671,606,92972857,702,128693274,971
高雄市,林園區,KHH-130,25052,14367932,573,14599136,582,16601568,662,21676739,865
高雄市,大寮區,KHH-140,39782,26628792,669,27191370,683,30418916,764,39722520,998
高雄市,大樹區,KHH-150,13149,9114445,693,9313339,708,10570233,803,13325242,1013
高雄市,大社區,KHH-160,12122,8732088,720,8787842,724,9417915,776,12899985,1064
高雄市,仁武區,KHH-170,28550,20851592,730,21614151,757,23221431,813,31730669,1111
高雄市,鳥松區,KHH-180,17240,11132069,645,11586538,672,11969610,694,16510806,957
高雄市,岡山區,KHH-190,34066,22439315,658,23338198,685,25510294,748,35280874,1035
高雄市,橋頭區,KHH-200,13029,7817827,600,7313674,561,8824663,677,11589488,889
