縣市,鄉鎮市區,縣市代碼,家戶數,1-2月用電總量,1-2月平均家戶用電,3-4月用電總量,3-4月平均家戶用電,5-6月用電總量,5-6月平均家戶用電,7-8月用電總量,7-8月平均家戶用電
屏東縣,南州鄉,PIF-200,3660,2197592,600,2282210,623,2707267,739,3242529,885
屏東縣,佳冬鄉,PIF-210,7126,3364203,472,3604449,505,4042189,567,5162551,724
屏東縣,琉球鄉,PIF-220,4067,1924847,473,2032239,499,2293717,563,3171844,779
屏東縣,車城鄉,PIF-230,3481,1949954,560,2051120,589,2156969,619,2728386,783
屏東縣,滿州鄉,PIF-240,3050,1008322,330,1106285,362,1110192,363,1266268,415
屏東縣,枋山鄉,PIF-250,2123,1186142,558,1276798,601,1371426,645,1844781,868
屏東縣,三地門鄉,PIF-260,2233,905468,405,927212,415,943159,422,1082685,484
屏東縣,霧臺鄉,PIF-270,1032,33835,32,36722,35,31501,30,29548,28
屏東縣,瑪家鄉,PIF-280,1953,913387,467,902380,462,956362,489,1084729,555
屏東縣,泰武鄉,PIF-290,1244,795649,639,811630,652,826578,664,936800,753
屏東縣,來義鄉,PIF-300,2218,1183495,533,1216913,548,1283463,578,1429765,644
屏東縣,春日鄉,PIF-310,1327,695583,524,699173,526,741360,558,868060,654
屏東縣,獅子鄉,PIF-320,1501,828247,551,857201,571,886475,590,1024284,682
屏東縣,牡丹鄉,PIF-330,1889,980865,519,896904,474,986855,522,1079985,571
臺東縣,臺東市,TTT-010,38498,26250933,681,27083764,703,29046963,754,38053278,988
臺東縣,成功鎮,TTT-020,5423,2572706,474,2838991,523,2986880,550,3741669,689
臺東縣,關山鎮,TTT-030,3267,1828329,559,1900866,581,1923238,588,2417873,740
臺東縣,卑南鄉,TTT-040,6617,3547615,536,3514466,531,3778761,571,4693347,709
臺東縣,鹿野鄉,TTT-050,3139,1485389,473,1573351,501,1641071,522,2071676,659
臺東縣,池上鄉,TTT-060,3282,1710828,521,1823325,555,1820738,554,2151598,655
臺東縣,東河鄉,TTT-070,3734,1427320,382,1541370,412,1561601,418,1951918,522
臺東縣,長濱鄉,TTT-080,2918,1208985,414,1310957,449,1361645,466,1658172,568
臺東縣,太麻里鄉,TTT-090,4581,1453989,317,1573107,343,1612355,351,1963429,428
臺東縣,大武鄉,TTT-100,2515,1015961,403,993208,394,1119118,444,1310393,521
臺東縣,綠島鄉,TTT-110,1061,515938,486,513432,483,710345,669,998594,941
臺東縣,海端鄉,TTT-120,1095,511297,466,541798,494,550008,502,605496,552
臺東縣,延平鄉,TTT-130,1066,423347,397,449935,422,478692,449,535516,502
臺東縣,金峰鄉,TTT-140,1088,344632,316,374700,344,396782,364,454560,417
臺東縣,達仁鄉,TTT-150,1488,275885,185,292522,196,309838,208,345825,232
臺東縣,蘭嶼鄉,TTT-160,1642,960220,584,1015672,618,1224833,745,1734852,1056
花蓮縣,花蓮市,HUA-010,41026,27364622,667,27746498,676,29607360,721,40207001,980
花蓮縣,鳳林鎮,HUA-020,4417,2465344,558,2608460,590,2651786,600,3392339,768
花蓮縣,玉里鎮,HUA-030,8933,5254172,588,5539321,620,5616501,628,7479701,837
花蓮縣,新城鄉,HUA-040,7407,4424661,597,4703251,634,4895279,660,6369969,859
花蓮縣,吉安鄉,HUA-050,30208,20535366,679,21103191,698,22440195,742,30166625,998
花蓮縣,壽豐鄉,HUA-060,6877,4902934,712,4916402,714,5175046,752,6609766,961
花蓮縣,光復鄉,HUA-070,5023,2380043,473,2458196,489,2531686,504,3289872,654
花蓮縣,豐濱鄉,HUA-080,1761,771462,438,732686,416,825028,468,1020313,579
花蓮縣,瑞穗鄉,HUA-090,4670,2454620,525,2448650,524,2650819,567,3428711,734
花蓮縣,富里鄉,HUA-100,4026,2052458,509,2174330,540,2190064,543,2614274,649
花蓮縣,秀林鄉,HUA-110,4703,2485600,528,2624421,558,2823590,600,3460712,735
花蓮縣,萬榮鄉,HUA-120,2091,820490,392,841027,402,869658,415,1072920,513
花蓮縣,卓溪鄉,HUA-130,1662,679502,408,739517,444,765957,460,925219,556
澎湖縣,馬公市,PEN-010,21874,14125818,645,14881064,680,14985507,685,20457775,935
澎湖縣,湖西鄉,PEN-020,5055,2488594,492,2728922,539,2892228,572,3961666,783
澎湖縣,白沙鄉,PEN-030,3224,1635486,507,1586217,492,1906407,591,2622473,813
澎湖縣,西嶼鄉,PEN-040,2906,1417134,487,1552115,534,1713436,589,2232015,768
澎湖縣,望安鄉,PEN-050,1989,445172,223,509846,256,562886,282,783441,393
澎湖縣,七美鄉,PEN-060,1291,485827,376,508547,393,587896,455,756206,585
基隆市,中正區,KEE-010,22261,13263700,595,14530023,652,13739370,617,17885874,803
基隆市,七堵區,KEE-020,20468,12504306,610,13150656,642,13212891,645,18370732,897
基隆市,暖暖區,KEE-030,14729,8549343,580,9223788,626,9010033,611,11905731,808
基隆市,仁愛區,KEE-040,19612,11026558,562,11188778,570,11733631,598,17317996,883
基隆市,中山區,KEE-050,19288,10904037,565,10748384,557,11686160,605,17609580,912
基隆市,安樂區,KEE-060,31971,19230357,601,19810945,619,20645016,645,30427155,951
基隆市,信義區,KEE-070,20505,12834705,625,13034373,635,12766880,622,17468605,851
新竹市,東區,HSZ-010,72462,57645554,795,56014754,773,61885407,854,89179146,1230
新竹市,北區,HSZ-020,52749,34595446,655,36201713,686,38354601,727,58158397,1102
新竹市,香山區,HSZ-030,24307,19941250,820,19857179,816,22221181,914,31424287,1292
嘉義市,東區,CYI-010,44835,28102195,626,29429258,656,31700924,707,42423339,946
嘉義市,西區,CYI-020,52319,34373468,656,34655781,662,38439261,734,53119610,1015
