縣市,鄉鎮市區,縣市代碼,家戶數,1-2月用電總量,1-2月平均家戶用電,3-4月用電總量,3-4月平均家戶用電,5-6月用電總量,5-6月平均家戶用電,7-8月用電總量,7-8月平均家戶用電,9-10月用電總量,9-10月平均家戶用電,11-12月用電總量,11-12月平均家戶用電
宜蘭縣,大同鄉,ILA-110,1861,801156,430,830132,446,806940,433,868144,466,992859,533,810487,435
宜蘭縣,南澳鄉,ILA-120,1854,804673,434,832235,448,893798,482,1193268,643,1332081,718,1005850,542
桃園縣,桃園市,TAO-010,150940,99577030,659,105900756,701,103250295,684,145345002,962,154783480,1025,107027917,709
桃園縣,中壢市,TAO-020,133706,99924109,747,106747202,798,101508053,759,131309903,982,141971157,1061,103470541,773
桃園縣,大溪鎮,TAO-030,30077,21546171,716,23665070,786,21749078,723,25766200,856,28307188,941,21929907,729
桃園縣,楊梅市,TAO-040,51564,35780675,693,38615276,748,35655759,691,43193520,837,47341628,918,35777603,693
桃園縣,蘆竹鄉,TAO-050,51259,40443999,789,39528665,771,40497071,790,54847204,1070,57351890,1118,39127099,763
桃園縣,大園鄉,TAO-060,27403,19560961,713,20940375,764,20184414,736,26856847,980,30543630,1114,21259213,775
桃園縣,龜山鄉,TAO-070,52232,38682530,740,40614313,777,38859127,743,50077283,958,53493825,1024,40152892,768
桃園縣,八德市,TAO-080,60928,42285381,694,43268241,710,41883630,687,54605927,896,59112841,970,42853554,703
桃園縣,龍潭鄉,TAO-090,37952,27823126,733,31190452,821,28068904,739,31888867,840,34322244,904,27552223,725
桃園縣,平鎮市,TAO-100,69567,45399249,652,50670311,728,46766166,672,55573590,798,63916372,918,48067218,690
桃園縣,新屋鄉,TAO-110,15176,9582990,631,10301506,678,9907611,652,12406954,817,14100591,929,10219413,673
桃園縣,觀音鄉,TAO-120,20015,13843973,691,14907570,744,14161554,707,18535624,926,19872957,992,14054976,702
桃園縣,復興鄉,TAO-130,3696,1470361,397,1538054,416,1507577,407,1661815,449,1734243,469,1531801,414
新竹縣,竹北市,HSQ-010,52833,39381508,745,41715777,789,40948932,775,56701544,1073,62668801,1186,43378836,821
新竹縣,竹東鎮,HSQ-020,31666,20783502,656,22351133,705,21989920,694,28631717,904,31667761,1000,23320259,736
新竹縣,新埔鎮,HSQ-030,10572,6840754,647,7544826,713,7046055,666,9151491,865,10654692,1007,8005534,757
新竹縣,關西鎮,HSQ-040,9483,5747656,606,5859612,617,5668510,597,6775836,714,7374421,777,5842126,616
新竹縣,湖口鄉,HSQ-050,24410,19012058,778,21333156,873,19862880,813,26398484,1081,30238833,1238,21379917,875
新竹縣,新豐鄉,HSQ-060,16688,12136917,727,12046053,721,12310192,737,17080336,1023,16948985,1015,11488186,688
新竹縣,芎林鄉,HSQ-070,6374,3256200,510,3073779,482,3276170,513,4105422,644,4155608,651,3026222,474
新竹縣,橫山鄉,HSQ-080,4480,2425706,541,2649134,591,2581070,576,3067765,684,3340161,745,2779350,620
新竹縣,北埔鄉,HSQ-090,3151,755878,239,769383,244,769600,244,977913,310,1093593,347,840904,266
新竹縣,寶山鄉,HSQ-100,4975,3609972,725,4014443,806,3706764,745,4673423,939,5478541,1101,4108775,825
新竹縣,峨眉鄉,HSQ-110,2064,1067980,517,1055140,511,1148027,556,1318318,638,1384027,670,1084579,525
新竹縣,尖石鄉,HSQ-120,2786,826244,296,812304,291,756852,271,802338,287,850309,305,785896,282
新竹縣,五峰鄉,HSQ-130,1722,0,0,0,0,0,0,0,0,0,0,0,0
苗栗縣,苗栗市,MIA-010,30014,18052260,601,18480547,615,19273993,642,27252699,907,29514518,983,20566122,685
苗栗縣,苑裡鎮,MIA-020,14172,7992996,563,8158258,575,8143654,574,10571850,745,11705551,825,8298468,585
苗栗縣,通霄鎮,MIA-030,11516,5802782,503,6545463,568,6289885,546,8216779,713,9515678,826,7099578,616
苗栗縣,竹南鎮,MIA-040,25715,16478607,640,18064025,702,17182457,668,24520850,953,30827006,1198,21958677,853
苗栗縣,頭份鎮,MIA-050,31554,20803508,659,21529743,682,23093384,731,33418441,1059,34948714,1107,22481097,712
苗栗縣,後龍鎮,MIA-060,11864,7506911,632,7875120,663,7943571,669,10901134,918,12047227,1015,8873574,747
苗栗縣,卓蘭鎮,MIA-070,6116,2728949,446,2675068,437,2607554,426,2991533,489,3275539,535,2669762,436
苗栗縣,大湖鄉,MIA-080,5421,2552099,470,2817808,519,2764928,510,3221391,594,3398250,626,2848167,525
苗栗縣,公館鄉,MIA-090,10508,4195640,399,4107802,390,4384348,417,5780511,550,6026196,573,4381504,416
苗栗縣,銅鑼鄉,MIA-100,6104,3329030,545,3569393,584,3465240,567,4403675,721,5126263,839,3934327,644
苗栗縣,南庄鄉,MIA-110,3985,1229964,308,1240654,311,1223276,306,1378823,346,1476019,370,1254587,314
苗栗縣,頭屋鄉,MIA-120,3599,1750330,486,1940844,539,1906303,529,2649473,736,2985643,829,2215042,615
苗栗縣,三義鄉,MIA-130,5401,2313303,428,2596940,480,2429296,449,3115865,576,3356969,621,2841264,526
苗栗縣,西湖鄉,MIA-140,2719,1039588,382,1144721,421,1135165,417,1455884,535,1523280,560,1100422,404
苗栗縣,造橋鄉,MIA-150,4098,2403351,586,2514199,613,2743777,669,3289690,802,3519236,858,2647767,646
苗栗縣,三灣鄉,MIA-160,2434,1017979,418,1002017,411,1043302,428,1342188,551,1478113,607,1057171,434
苗栗縣,獅潭鄉,MIA-170,1730,741712,428,836871,483,806629,466,889156,513,929245,537,816961,472
苗栗縣,泰安鄉,MIA-180,1968,526990,267,628112,319,601705,305,614325,312,629535,319,610794,310
彰化縣,彰化市,CHA-010,73911,48918005,661,49938642,675,52587278,711,70843145,958,77168576,1044,56566584,765
彰化縣,鹿港鎮,CHA-020,23159,15043727,649,15478710,668,15688525,677,19577809,845,21747629,939,16715981,721
彰化縣,和美鎮,CHA-030,25140,18084931,719,20122632,800,19708912,783,25791217,1025,28624468,1138,20968375,834
彰化縣,線西鄉,CHA-040,4196,2748925,655,2969294,707,2809233,669,3456053,823,4100314,977,3210058,765
彰化縣,伸港鄉,CHA-050,9281,5480862,590,5777799,622,5628964,606,7124182,767,8249225,888,6101262,657
彰化縣,福興鄉,CHA-060,12306,7777840,632,7651724,621,8078766,656,10072815,818,10541786,856,7813865,634
彰化縣,秀水鄉,CHA-070,10142,7462167,735,7646933,753,7602969,749,9788904,965,10644763,1049,7912041,780
彰化縣,花壇鄉,CHA-080,13335,6766800,507,6517344,488,7129948,534,9170584,687,9715721,728,6896123,517
彰化縣,芬園鄉,CHA-090,6871,3454513,502,3466602,504,3559037,517,4497034,654,4893289,712,3738014,544
彰化縣,員林鎮,CHA-100,37725,25438543,674,27602502,731,28243305,748,37339331,989,41388351,1097,31600751,837
彰化縣,溪湖鎮,CHA-110,15622,10779418,690,11551819,739,11629337,744,14639587,937,15761165,1008,11766812,753
彰化縣,田中鎮,CHA-120,12772,7263014,568,7957641,623,7903630,618,10348048,810,11345851,888,8712769,682
彰化縣,大村鄉,CHA-130,10518,7698925,731,8255901,784,8669953,824,11180155,1062,11370688,1081,8567330,814
彰化縣,埔鹽鄉,CHA-140,8946,4763135,532,5325271,595,5060507,565,6195035,692,7297901,815,5941100,664
彰化縣,埔心鄉,CHA-150,10185,6890752,676,7003831,687,7254468,712,9476215,930,9757654,958,7175565,704
彰化縣,永靖鄉,CHA-160,10647,6713226,630,6610394,620,7013882,658,8948064,840,9341196,877,7047631,661
彰化縣,社頭鄉,CHA-170,12557,6239042,496,6070032,483,6520091,519,8308946,661,8867850,706,6642607,528
彰化縣,二水鄉,CHA-180,5354,2183895,407,2394570,447,2429099,453,3035695,566,3303933,617,2630219,491
彰化縣,北斗鎮,CHA-190,10198,7583900,743,8327475,816,8496798,833,10722137,1051,11259478,1104,8352335,819
彰化縣,二林鎮,CHA-200,14620,8308448,568,9058754,619,8867704,606,11336485,775,12848800,878,9968021,681
彰化縣,田尾鄉,CHA-210,7765,4807203,619,5126427,660,4919785,633,6139255,790,6825931,879,5739652,739
彰化縣,埤頭鄉,CHA-220,8805,3586201,407,3314005,376,3910802,444,4816885,547,4803941,545,3449168,391
彰化縣,芳苑鄉,CHA-230,10049,4676796,465,4884545,486,5115845,509,6375910,634,6707588,667,5105382,508
彰化縣,大城鄉,CHA-240,5392,1480255,274,1441990,267,1631411,302,2017795,374,2114390,392,1560644,289
彰化縣,竹塘鄉,CHA-250,4628,2348568,507,2261883,488,2563694,553,3211132,693,3263776,705,2370761,512
彰化縣,溪州鄉,CHA-260,8820,4220138,478,4155244,471,4486277,508,5541718,628,5951713,674,4577317,518
南投縣,南投市,NAN-010,33957,20700186,609,20953870,617,21938969,646,27806765,818,29260567,861,23101333,680
南投縣,埔里鎮,NAN-020,28787,17918419,622,18217151,632,18215920,632,19458010,675,20498387,712,19253580,668
南投縣,草屯鎮,NAN-030,31878,18434243,578,18925563,593,19545295,613,24838507,779,26431842,829,21099135,661
南投縣,竹山鎮,NAN-040,19811,10584920,534,10878204,549,11137545,562,12946865,653,13764924,694,11771921,594
南投縣,集集鎮,NAN-050,4361,2167862,497,2208904,506,2195690,503,2403430,551,2612307,599,2263791,519
南投縣,名間鄉,NAN-060,12440,5458284,438,5321881,427,5626108,452,6208925,499,6674094,536,5655018,454
南投縣,鹿谷鄉,NAN-070,7219,3423102,474,3179649,440,3383326,468,3377006,467,3558078,492,3381636,468
南投縣,中寮鄉,NAN-080,5665,2075690,366,2066940,364,2106038,371,2384681,420,2492760,440,2263617,399
南投縣,魚池鄉,NAN-090,5776,2056777,356,1902002,329,1924990,333,1974937,341,2156662,373,1920414,332
南投縣,國姓鄉,NAN-100,7276,2843134,390,2711257,372,2919084,401,3136202,431,3285587,451,2873220,394
南投縣,水里鄉,NAN-110,7284,3249668,446,3428313,470,3386331,464,3763439,516,3984767,547,3600603,494
南投縣,信義鄉,NAN-120,5275,2076664,393,2039095,386,2026654,384,2042547,387,2160368,409,2063876,391
南投縣,仁愛鄉,NAN-130,4959,2010635,405,1969255,397,2035947,410,2003071,403,2119738,427,2039097,411
雲林縣,斗六市,YUN-010,36229,26679384,736,27714419,764,28873771,796,36359259,1003,39366322,1086,31385910,866
雲林縣,斗南鎮,YUN-020,15535,8756305,563,9431806,607,9715600,625,13004671,837,14275954,918,11111116,715
雲林縣,虎尾鎮,YUN-030,23529,17550295,745,19347014,822,20729661,881,25201239,1071,27487094,1168,21873655,929
雲林縣,西螺鎮,YUN-040,14255,9255873,649,10209615,716,10718124,751,13636349,956,15047876,1055,11340518,795
雲林縣,土庫鎮,YUN-050,9023,5514337,611,5988815,663,6833173,757,7941047,880,8312992,921,6192811,686
雲林縣,北港鎮,YUN-060,15769,8517523,540,9538776,604,9868199,625,12609564,799,13877038,880,10343082,655
雲林縣,古坑鄉,YUN-070,10841,5080292,468,5173075,477,5364922,494,6395439,589,6742448,621,5707509,526
雲林縣,大埤鄉,YUN-080,6765,3983583,588,3908802,577,4646122,686,5560262,821,5669694,838,4038051,596
雲林縣,莿桐鄉,YUN-090,9181,5341199,581,5570185,606,5983156,651,7389468,804,7807144,850,5941318,647
雲林縣,林內鄉,YUN-100,5861,3161481,539,3111175,530,3302712,563,4040269,689,4284158,730,3493413,596
雲林縣,二崙鄉,YUN-110,8900,4564068,512,5060518,568,5568826,625,6497313,730,7050865,792,5100802,573
雲林縣,崙背鄉,YUN-120,8490,4537924,534,5601111,659,5853323,689,7206149,848,7704291,907,5663869,667
雲林縣,麥寮鄉,YUN-130,13409,5520445,411,6102361,455,6533756,487,8304376,619,9559938,712,7584832,565
雲林縣,東勢鄉,YUN-140,5802,3075303,530,3293659,567,4050346,698,4464675,769,4529325,780,3278045,564
雲林縣,褒忠鄉,YUN-150,4402,2605275,591,2917846,662,3144683,714,3787585,860,3961984,900,3081281,699
雲林縣,臺西鄉,YUN-160,8844,3118827,352,3386522,382,3763892,425,4724840,534,4979731,563,3639133,411
雲林縣,元長鄉,YUN-170,9446,3143815,332,3805488,402,4499569,476,4160161,440,4318229,457,3037131,321
雲林縣,四湖鄉,YUN-180,9077,1724629,189,1842504,202,2364481,260,2417712,266,2386116,262,1752786,193
雲林縣,口湖鄉,YUN-190,9667,3312007,342,3807114,393,4059552,419,5101172,527,5638348,583,4415288,456
雲林縣,水林鄉,YUN-200,10361,3987051,384,5029671,485,6120249,590,6267997,604,6211423,599,4720035,455
嘉義縣,太保市,CYQ-010,11825,5406218,457,5461492,461,5753738,486,7299206,617,7746208,655,5942207,502
嘉義縣,朴子市,CYQ-020,15144,7705321,508,8315611,549,8486750,560,11096077,732,12320788,813,9493484,626
嘉義縣,布袋鎮,CYQ-030,10186,3776186,370,4074429,400,4219187,414,5472611,537,6145888,603,4673358,458
嘉義縣,大林鎮,CYQ-040,11404,5700948,499,5991628,525,6324088,554,8308622,728,8872300,777,6936752,608
嘉義縣,民雄鄉,CYQ-050,23550,15958906,677,16158840,686,17508924,743,21339883,906,23162085,983,18297829,776
嘉義縣,溪口鄉,CYQ-060,5448,1154881,211,1189623,218,1272389,233,1591965,292,1754179,321,1292405,237
嘉義縣,新港鄉,CYQ-070,10512,4693322,446,4639773,441,5038207,479,6470638,615,6937396,659,5155796,490
嘉義縣,六腳鄉,CYQ-080,9117,2577801,282,2617852,287,2983162,327,3567238,391,3805144,417,2855279,313
嘉義縣,東石鄉,CYQ-090,9499,3056616,321,3174722,334,3343401,351,4218809,444,4602227,484,3591317,378
嘉義縣,義竹鄉,CYQ-100,7564,2252547,297,2202393,291,2481449,328,3113747,411,3374332,446,2568456,339
嘉義縣,鹿草鄉,CYQ-110,5849,1990423,340,1929680,329,2199057,375,2810574,480,2952040,504,2160015,369
嘉義縣,水上鄉,CYQ-120,17650,9994155,566,10360268,586,10828446,613,13741906,778,14694402,832,11257370,637
嘉義縣,中埔鄉,CYQ-130,15782,7755777,491,7894843,500,8361583,529,10491507,664,10977085,695,8814966,558
嘉義縣,竹崎鄉,CYQ-140,11538,5145280,445,5570950,482,5660296,490,6664094,577,7023502,608,6054410,524
