縣市,鄉鎮市區,縣市代碼,用電量,家戶數,家戶用電量
高雄市,內門區,KHH-350,2685106,5061,530
高雄市,茂林區,KHH-360,296652,577,514
高雄市,桃源區,KHH-370,466752,1347,346
高雄市,那瑪夏區,KHH-380,266923,875,305
宜蘭縣,宜蘭市,ILA-010,29277432,34556,847
宜蘭縣,羅東鎮,ILA-020,22028319,25491,864
宜蘭縣,蘇澳鎮,ILA-030,9933474,13811,719
宜蘭縣,頭城鎮,ILA-040,9289898,9955,933
宜蘭縣,礁溪鄉,ILA-050,11145908,12948,860
宜蘭縣,壯圍鄉,ILA-060,5882862,8317,707
宜蘭縣,員山鄉,ILA-070,7975741,11072,720
宜蘭縣,冬山鄉,ILA-080,14079746,18148,775
宜蘭縣,五結鄉,ILA-090,10368201,13522,766
宜蘭縣,三星鄉,ILA-100,5203464,7822,665
宜蘭縣,大同鄉,ILA-110,1050213,1861,564
宜蘭縣,南澳鄉,ILA-120,1157269,1854,624
桃園縣,桃園市,TAO-010,125843930,150940,833
桃園縣,中壢市,TAO-020,126127765,133706,943
桃園縣,大溪鎮,TAO-030,26909173,30077,894
桃園縣,楊梅市,TAO-040,43825664,51564,849
桃園縣,蘆竹鄉,TAO-050,56473748,51259,1101
桃園縣,大園鄉,TAO-060,25343808,27403,924
桃園縣,龜山鄉,TAO-070,49726421,52232,952
桃園縣,八德市,TAO-080,50153308,60928,823
桃園縣,龍潭鄉,TAO-090,31712435,37952,835
桃園縣,平鎮市,TAO-100,56524275,69567,812
桃園縣,新屋鄉,TAO-110,13606799,15176,896
桃園縣,觀音鄉,TAO-120,18068798,20015,902
桃園縣,復興鄉,TAO-130,2036376,3696,550
新竹縣,竹北市,HSQ-010,55752794,52833,1055
新竹縣,竹東鎮,HSQ-020,26627429,31666,840
新竹縣,新埔鎮,HSQ-030,9143457,10572,864
新竹縣,關西鎮,HSQ-040,7615902,9483,803
新竹縣,湖口鄉,HSQ-050,24331557,24410,996
新竹縣,新豐鄉,HSQ-060,15493821,16688,928
新竹縣,芎林鄉,HSQ-070,6084852,6374,954
新竹縣,橫山鄉,HSQ-080,3356851,4480,749
新竹縣,北埔鄉,HSQ-090,2439939,3151,774
新竹縣,寶山鄉,HSQ-100,4592842,4975,923
新竹縣,峨眉鄉,HSQ-110,1385863,2064,671
新竹縣,尖石鄉,HSQ-120,1141779,2786,409
新竹縣,五峰鄉,HSQ-130,683465,1722,396
苗栗縣,苗栗市,MIA-010,27064066,30014,901
苗栗縣,苑裡鎮,MIA-020,12795818,14172,902
苗栗縣,通霄鎮,MIA-030,8598677,11516,746
苗栗縣,竹南鎮,MIA-040,27576632,25715,1072
苗栗縣,頭份鎮,MIA-050,27905866,31554,884
苗栗縣,後龍鎮,MIA-060,11079584,11864,933
苗栗縣,卓蘭鎮,MIA-070,3517929,6116,575
苗栗縣,大湖鄉,MIA-080,3289230,5421,606
苗栗縣,公館鄉,MIA-090,7417490,10508,705
苗栗縣,銅鑼鄉,MIA-100,4989141,6104,817
苗栗縣,南庄鄉,MIA-110,1752233,3985,439
苗栗縣,頭屋鄉,MIA-120,2427503,3599,674
苗栗縣,三義鄉,MIA-130,3184389,5401,589
苗栗縣,西湖鄉,MIA-140,1418941,2719,521
苗栗縣,造橋鄉,MIA-150,4278684,4098,1044
苗栗縣,三灣鄉,MIA-160,1593831,2434,654
苗栗縣,獅潭鄉,MIA-170,974953,1730,563
苗栗縣,泰安鄉,MIA-180,736854,1968,374
彰化縣,彰化市,CHA-010,69390355,73911,938
彰化縣,鹿港鎮,CHA-020,22492368,23159,971
彰化縣,和美鎮,CHA-030,23129001,25140,920
彰化縣,線西鄉,CHA-040,4111144,4196,979
彰化縣,伸港鄉,CHA-050,9960820,9281,1073
彰化縣,福興鄉,CHA-060,10859813,12306,882
彰化縣,秀水鄉,CHA-070,10425261,10142,1027
彰化縣,花壇鄉,CHA-080,12764092,13335,957
彰化縣,芬園鄉,CHA-090,5358140,6871,779
彰化縣,員林鎮,CHA-100,34181835,37725,906
彰化縣,溪湖鎮,CHA-110,14030477,15622,898
彰化縣,田中鎮,CHA-120,9724249,12772,761
彰化縣,大村鄉,CHA-130,10262320,10518,975
彰化縣,埔鹽鄉,CHA-140,7171367,8946,801
彰化縣,埔心鄉,CHA-150,8129144,10185,798
彰化縣,永靖鄉,CHA-160,8999479,10647,845
彰化縣,社頭鄉,CHA-170,10236750,12557,815
彰化縣,二水鄉,CHA-180,3038515,5354,567
彰化縣,北斗鎮,CHA-190,9303815,10198,912
彰化縣,二林鎮,CHA-200,12471685,14620,853
彰化縣,田尾鄉,CHA-210,6675607,7765,859
彰化縣,埤頭鄉,CHA-220,6276422,8805,712
彰化縣,芳苑鄉,CHA-230,6998582,10049,696
彰化縣,大城鄉,CHA-240,3061642,5392,567
彰化縣,竹塘鄉,CHA-250,3187298,4628,688
彰化縣,溪州鄉,CHA-260,7626366,8820,864
南投縣,南投市,NAN-010,25125424,33957,739
南投縣,埔里鎮,NAN-020,21058432,28787,731
南投縣,草屯鎮,NAN-030,24599269,31878,771
南投縣,竹山鎮,NAN-040,14555739,19811,734
南投縣,集集鎮,NAN-050,2676499,4361,613
南投縣,名間鄉,NAN-060,8843871,12440,710
南投縣,鹿谷鄉,NAN-070,3757067,7219,520
南投縣,中寮鄉,NAN-080,2522387,5665,445
南投縣,魚池鄉,NAN-090,3596888,5776,622
南投縣,國姓鄉,NAN-100,3331092,7276,457
南投縣,水里鄉,NAN-110,4003840,7284,549
南投縣,信義鄉,NAN-120,2368032,5275,448
南投縣,仁愛鄉,NAN-130,2332848,4959,470
雲林縣,斗六市,YUN-010,34769454,36229,959
雲林縣,斗南鎮,YUN-020,13258904,15535,853
雲林縣,虎尾鎮,YUN-030,24593483,23529,1045
雲林縣,西螺鎮,YUN-040,13795109,14255,967
雲林縣,土庫鎮,YUN-050,8666764,9023,960
雲林縣,北港鎮,YUN-060,13042804,15769,827
雲林縣,古坑鄉,YUN-070,8049840,10841,742
雲林縣,大埤鄉,YUN-080,5497306,6765,812
雲林縣,莿桐鄉,YUN-090,7539718,9181,821
雲林縣,林內鄉,YUN-100,4606198,5861,785
雲林縣,二崙鄉,YUN-110,8316351,8900,934
雲林縣,崙背鄉,YUN-120,7244173,8490,853
雲林縣,麥寮鄉,YUN-130,9499668,13409,708
雲林縣,東勢鄉,YUN-140,4348244,5802,749
雲林縣,褒忠鄉,YUN-150,4037064,4402,917
雲林縣,臺西鄉,YUN-160,4778239,8844,540
雲林縣,元長鄉,YUN-170,8074450,9446,854
雲林縣,四湖鄉,YUN-180,5473269,9077,602
雲林縣,口湖鄉,YUN-190,5249314,9667,543
雲林縣,水林鄉,YUN-200,7390032,10361,713
嘉義縣,太保市,CYQ-010,11103799,11825,939
嘉義縣,朴子市,CYQ-020,12024374,15144,794
嘉義縣,布袋鎮,CYQ-030,6048140,10186,593
嘉義縣,大林鎮,CYQ-040,9094451,11404,797
嘉義縣,民雄鄉,CYQ-050,21117321,23550,896
嘉義縣,溪口鄉,CYQ-060,3905949,5448,716
嘉義縣,新港鄉,CYQ-070,8751658,10512,832
嘉義縣,六腳鄉,CYQ-080,5842762,9117,640
嘉義縣,東石鄉,CYQ-090,5131410,9499,540
嘉義縣,義竹鄉,CYQ-100,3778117,7564,499
嘉義縣,鹿草鄉,CYQ-110,3548863,5849,606
嘉義縣,水上鄉,CYQ-120,13900308,17650,787
