town_id,縣市,鄉鎮,人口數,家戶數,1-2月總用電,1-2月家戶用電,3-4月總用電,3-4月家戶用電,5-6月總用電,5-6月家戶用電,7-8月總用電,7-8月家戶用電,9-10月總用電,9-10月家戶用電,11-12月總用電,11-12月家戶用電
6300300,臺北市,大安區,311601,116056,82902390,714.3309264493,73907456,636.82580823051,85741642,738.7954263459,131631999,1134.2110619012,145650243,1254.9996811884,93442316,805.14851451024
6300500,臺北市,中正區,158778,61406,40771496,663.96599680813,36125082,588.29889587337,42059768,684.94557535094,63725016,1037.7652998078,69084431,1125.0436602286,45839419,746.49739439143
6301000,臺北市,內湖區,267702,94823,62485446,658.96930069709,54564313,575.43331259294,60910753,642.36264408424,92791100,978.57165455638,103492353,1091.4266897272,67336126,710.12440019826
6300200,臺北市,信義區,225305,85389,57055920,668.18817412079,50508360,591.50897656607,56282199,659.12704212486,83367039,976.32059164529,98478578,1153.293492136,65307299,764.82098396749
6300100,臺北市,松山區,208030,77144,50256164,651.45914134605,46150340,598.23628538836,51519808,667.8394690449,82028615,1063.3181452867,87292529,1131.5530566214,57322508,743.05853987348
6301200,臺北市,北投區,248079,88434,56279812,636.40468598051,48498124,548.41038514598,55993777,633.17023995296,91379659,1033.3091231879,90979192,1028.7806952077,57239535,647.25710699505
6300700,臺北市,萬華區,188400,73207,43541045,594.76614258199,37695117,514.91137459533,43631074,595.99592935102,67964267,928.38481292773,76400792,1043.6268662833,48372925,660.7691204393
6300600,臺北市,大同區,123426,46385,29354748,632.85001616902,25786787,555.92943839603,29767400,641.746254177,44244743,953.85885523337,53605819,1155.6714239517,35687248,769.37044303115
6300900,臺北市,南港區,113097,40977,24019328,586.16609317422,21833090,532.81328550162,23639446,576.89547795105,32940447,803.87649169046,41490846,1012.539863826,28018521,683.76213485614
6300800,臺北市,文山區,260873,95836,59271067,618.46348971159,52512255,547.93871822697,57844903,603.58219249551,83354320,869.76000667808,95597343,997.50973538128,64542243,673.46553487207
6301100,臺北市,士林區,283817,99475,76448943,768.52418195527,66512722,668.63756722795,73947120,743.37391304348,109801530,1103.8103040965,127865962,1285.4080120633,84485724,849.31614978638
6300400,臺北市,中山區,218290,90206,68387414,758.12489191406,60727198,673.2057512804,68585619,760.32214043412,105730671,1172.102421125,123636232,1370.5987628317,81219965,900.38317850254
1000104,臺北縣,永和市,236830,89294,59308083,664.18889287074,53627461,600.57183013416,59592944,667.37904002509,87139336,975.87000246377,104564067,1171.0088807759,69479913,778.10281765852
1000105,臺北縣,新莊市,400896,134182,94466349,704.01655214559,84242833,627.82514048084,97162639,724.1108270856,151116032,1126.201964496,167023636,1244.7544081919,106244103,791.79102264089
1000112,臺北縣,瑞芳鎮,42729,15690,9868108,628.9425111536,9021817,575.00427023582,9359382,596.5189292543,12950124,825.37437858509,13474117,858.77100063735,9786844,623.7631612492
1000115,臺北縣,五股鄉,79206,26793,19909653,743.09159108722,17049913,636.35699623036,19432202,725.27160079125,32707079,1220.7322434964,31532927,1176.9091553764,19587758,731.07744560146
1000128,臺北縣,萬里鄉,21606,6890,4639190,673.32220609579,4302156,624.40580551524,4497510,652.75907111756,5801301,841.9885341074,6456541,937.08867924528,4817573,699.21233671988
1000129,臺北縣,烏來鄉,5743,1694,1171221,691.39374262102,1105857,652.80814639906,1136798,671.07319952775,1212332,715.66233766234,1446245,853.74557260921,1214408,716.88783943329
1000123,臺北縣,八里鄉,33990,11795,10148320,860.39169139466,8940022,757.95014836795,9900157,839.35201356507,14766538,1251.9320050869,16058185,1361.4400169563,10846123,919.55260703688
1000121,臺北縣,三芝鄉,23365,8766,7087403,808.51049509468,6399534,730.04038329911,6575670,750.13347022587,8578233,978.58008213552,8995256,1026.1528633356,6820782,778.09514031485
1000124,臺北縣,平溪鄉,5446,2362,1007249,426.43903471634,909858,385.2066045724,955558,404.55461473328,1130407,478.58044030483,1118747,473.64394580864,978371,414.21295512278
1000111,臺北縣,汐止市,187058,77302,60359435,780.82630462343,52840840,683.56368528628,55891828,723.0321078368,81025807,1048.1721947686,88424106,1143.8786318595,61183256,791.48348037567
1000126,臺北縣,貢寮鄉,13850,4344,3417707,786.76496316759,3050855,702.31468692449,3312721,762.59691528545,4489058,1033.3927255985,4863723,1119.6415745856,3559207,819.33862799263
1000125,臺北縣,雙溪鄉,9827,3810,2105957,552.74461942257,1784870,468.46981627297,1928962,506.28923884514,2494905,654.83070866142,2473771,649.28372703412,1964845,515.70734908136
1000122,臺北縣,石門鄉,12386,3889,2574891,662.09591154538,2219992,570.83877603497,2479000,637.43893031628,3587729,922.53252764207,3201401,823.19388017485,2340532,601.83389046027
1000119,臺北縣,石碇鄉,7971,3264,2154175,659.98008578431,1782025,545.96354166667,1897136,581.23039215686,2409138,738.09375,2233938,684.41727941176,1930777,591.53707107843
1000120,臺北縣,坪林鄉,6539,2398,1189892,496.20183486239,1027908,428.65221017515,1245592,519.42952460384,1289760,537.84820683903,1425988,594.65721434529,1289163,537.59924937448
1000108,臺北縣,鶯歌鎮,86588,26871,20447423,760.94760150348,18255429,679.37289270961,19866095,739.31357225261,26919291,1001.7971419002,31616938,1176.6193293886,22419850,834.35115924231
1000113,臺北縣,土城市,238916,81029,53817556,664.17648002567,47684804,588.49058978884,53838709,664.4375347098,81726899,1008.6129533871,89556672,1105.2422219205,62310056,768.98463513063
1000127,臺北縣,金山鄉,22404,6581,5368939,815.82419085245,4743587,720.8003342957,5034081,764.94165020514,6710693,1019.7071873575,7706765,1171.0629083726,5561990,845.15879045738
1000118,臺北縣,深坑鄉,23114,8570,7255192,846.58016336056,6414352,748.46581096849,6851786,799.50828471412,8479710,989.46441073512,10306207,1202.5912485414,7773691,907.08179696616
1000116,臺北縣,泰山鄉,76505,25880,19434375,750.94184698609,18046246,697.30471406491,19669046,760.00950540958,25520813,986.12105873261,35326750,1365.021251932,24905520,962.34621329212
1000106,臺北縣,新店市,294690,114294,84488558,739.22128895655,73814955,645.83403328259,79188981,692.85335188199,110399730,965.92760774844,128872585,1127.5533711306,90279796,789.89094790628
1000109,臺北縣,三峽鎮,100711,33871,25656466,757.47589383248,22781326,672.59088896106,24791623,731.94245815004,33382643,985.58185468395,38243067,1129.0799504,27474656,811.15573794692
1000114,臺北縣,蘆洲市,197083,64300,47025280,731.34183514774,42802865,665.67441679627,47846694,744.1165474339,69892515,1086.9753499222,88396191,1374.7463608087,57971031,901.57124416796
1000103,臺北縣,中和市,414650,153283,107121986,698.85105328053,92678927,604.62625992445,106041502,691.8021046039,167339770,1091.7046900178,174782772,1140.2619468565,111897382,730.00516691349
